"Banjara
HNo.6-3-562/A,Behind More Megastore,Irrum Manzil Colony,Somajiguda,,Banjara Phone NO. -9167313131
Hyderabad",,,,,,,,
Bed  Wise Bed Status Report,,,,,,,,
Bed Type,: All Bed,,,Run Date :,14-July-2025,,,
Sl.No.,Bed,Bed Type,Ward Name,,,Status,,H Location
1,206B,Cubical,Second Floor_BJ,,,Vacant,,Banjara Hills
2,206C,Cubical,Second Floor_BJ,,,Vacant,,Banjara Hills
3,207A,Cubical,Second Floor_BJ,,,Vacant,,Banjara Hills
4,207C,Cubical,Second Floor_BJ,,,Vacant,,Banjara Hills
5,208A,Cubical,Second Floor_BJ,,,Vacant,,Banjara Hills
6,208B,Cubical,Second Floor_BJ,,,Discharged but not vacated,,Banjara Hills
7,208C,Cubical,Second Floor_BJ,,,Discharged but not vacated,,Banjara Hills
8,207B,Cubical,Second Floor_BJ,,,Discharged but not vacated,,Banjara Hills
9,206A,Cubical,Second Floor_BJ,,,Discharged but not vacated,,Banjara Hills
10,DC1F-Z,DayCare,Day Care First Floor_BJ,,,Vacant,,Banjara Hills
11,DC1F-G,DayCare,Day Care First Floor_BJ,,,Occupied,,Banjara Hills
12,DC1F-I,DayCare,Day Care First Floor_BJ,,,Occupied,,Banjara Hills
13,DC1F-A,DayCare,Day Care First Floor_BJ,,,Occupied,,Banjara Hills
14,DC1F-B,DayCare,Day Care First Floor_BJ,,,Occupied,,Banjara Hills
15,DC1F-J,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
16,DC1F-K,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
17,DC1F-L,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
18,DC1F-M,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
19,DC1F-N,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
20,DC1F-O,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
21,DC1F-P,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
22,DC1F-Q,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
23,DC1F-R,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
24,DC1F-S,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
25,DC1F-T,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
26,DC1F-C,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
27,DC1F-D,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
28,DC1F-E,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
29,DC1F-F,DayCare,Day Care First Floor_BJ,,,Discharged but not vacated,,Banjara Hills
