,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Sl.No.,Bed,Bed Type,Ward Name,Status,,,Run date,Location,H location,Phone No
1,206B,Cubical,Second Floor_BJ,Vacant,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
2,206C,Cubical,Second Floor_BJ,Vacant,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
3,207A,Cubical,Second Floor_BJ,Vacant,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
4,207C,Cubical,Second Floor_BJ,Vacant,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
5,208A,Cubical,Second Floor_BJ,Vacant,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
6,208B,Cubical,Second Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
7,208C,Cubical,Second Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
8,207B,Cubical,Second Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
9,206A,Cubical,Second Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
10,DC1F-Z,DayCare,Day Care First Floor_BJ,Vacant,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
11,DC1F-G,DayCare,Day Care First Floor_BJ,Occupied,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
12,DC1F-I,DayCare,Day Care First Floor_BJ,Occupied,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
13,DC1F-A,DayCare,Day Care First Floor_BJ,Occupied,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
14,DC1F-B,DayCare,Day Care First Floor_BJ,Occupied,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
15,DC1F-J,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
16,DC1F-K,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
17,DC1F-L,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
18,DC1F-M,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
19,DC1F-N,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
20,DC1F-O,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
21,DC1F-P,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
22,DC1F-Q,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
23,DC1F-R,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
24,DC1F-S,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
25,DC1F-T,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
26,DC1F-C,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
27,DC1F-D,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
28,DC1F-E,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
29,DC1F-F,DayCare,Day Care First Floor_BJ,Discharged but not vacated,,,14-Jul-25,Hyderabad,Banjara Hills,9167313131
