CompanyType,CompanyName,Company Code,RateContract,>0,
Insurance,ADITYA BIRLA HEALTH INSURANCE COMPANY LIMITED,,ADITYA BIRLA_BJ,592126.000,
Insurance,BAJAJ ALLIANZ GENERAL INSURANCE COMPANY LIMITED,,Bajaj Allianz Life Insurance Co. Ltd._BJ,920017.400,
Insurance,CARE HEALTH INSURANCE.LTD,,CARE HEALTH INS_BJ,36287.000,
Insurance,EAST WEST TPA,,EAST WEST TPA_BJ (R),123662.000,
Insurance,ERICSON,,ERICSON TPA_BJ (R),43582.000,
Insurance,FHPL,,FHPL TPA_BJ,2163112.000,
Insurance,FHPL,,FHPL_BJ,292325.990,
Insurance,FUTURE GENERALI INDIA INSURANCE COMPANY LIMITED,,FUTURE GENERALI INDIA INSURANCE_BJ,238151.000,
Insurance,GENINS INDIA TPA,,GENINS INDIA TPA_BJ,135710.000,
Insurance,GHPL,,GHPL TPA_BJ (R),481965.000,
Insurance,GIPSA,,GIPSA CASH_BJ,0.000,
Insurance,GIPSA,,GIPSA_BJ (R),2561651.980,
Insurance,GO DIGIT,,GO DIGIT HEALTH INS_BJ,235166.000,
Insurance,HDFC ERGO,,HDFC ERGO_BJ,3651613.000,
Insurance,Health India Insurance Company Pvt,,Health India Insurance Company Pvt_BJ,124143.000,
Insurance,Health India Insurance Company Pvt,,HEALTH INDIA TPA_BJ (R),360257.000,
Insurance,Health Insurance TPA,,HEALTH INSURANCE TPA_BJ (R),1799258.990,
Insurance,HERITAGE HEALTH INSURANCE TPA,,HERITAGE HEALTH TPA_BJ (R),1224962.000,
Insurance,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,,ICICI LOMBARD_BJ,502293.000,
Insurance,IFFCO  TOKIO HEALTH INSURANCE,,IFFCO - TOKKIO_BJ,97200.000,
Insurance,LIBERTY GENERAL INSURANCE,,LIBERTY GENERAL INSURANCE_BJ,170430.000,
Insurance,Max Bupa Health Insurance,,Max Bupa Health Insurance_BJ,29493.000,
Insurance,MD India Health Insurance,,MD INDIA TPA_BJ (R),578765.000,
Insurance,MD India Health Insurance,,MD INDIA_BJ,253695.990,
Insurance,MEDI ASSIST,,MEDI ASSIST_BJ,1113434.990,
Insurance,MEDI ASSIST,,MEDIASSIST TPA_BJ (R),8522415.000,
Insurance,MEDVANTAGE,,MEDVANTAGE TPA_BJ (R),89800.000,
Insurance,NIVA BUPA HEALTH INSURANCE,,NIVA BUPA HEALTH INSURANCE_BJ,2781423.990,
Insurance,PARAMOUNT HEALTH SERVICES,,PARAMOUNT (PHS) TPA_BJ (R),165170.000,
Insurance,PARAMOUNT HEALTH SERVICES,,PARAMOUNT HEALTH INS_BJ,74700.000,
Insurance,RAKSHA,,RAKSHA TPA_BJ (R),536231.000,
Insurance,Reliance General Insurance Company,,RELIANCE GENERAL INSURANCE_BJ,163217.000,
Insurance,Reliance General Insurance Company,,RELIANCE HEALTH INS_BJ,116430.000,
Insurance,Religare Health Insurance Company Limited,,RELIGARE (CARE INSURANCE)_BJ,3362307.980,
Insurance,SAFEWAY TPA,,SAFEWAY TPA_BJ (R),231321.000,
Insurance,SBI GENERAL INSURANCE COMPANY LTD,SBIGHS006440,SBI GENERAL INSURANCE_BJ (R),118124.000,
Insurance,STAR HEALTH AND ALLIED INSURANCE CO. LTD._,,Star Health and Allied Insurance CASH_BJ,42400.000,
Insurance,STAR HEALTH AND ALLIED INSURANCE CO. LTD._,,STAR HEALTH INSURANCE_BJ,5158716.000,
Insurance,UNITED HEALTH PAREKH,,UNITED HEALTH PAREKH_BJ,228865.000,
Insurance,VIDAL HEALTH CARE TPA,,VIDAL HEALTH TPA_BJ (R),669470.000,
Insurance,VIDAL HEALTH CARE TPA,,VIDAL_BJ,191028.990,
