Moduleid,MODLE NAME ,REPORT NAME
1,ADT,Admission Reports 
2,ADT,Admission Reports
3,ADT,Current In patient
4,ADT,Census Report
5,ADT,Bed Status Reports
6,ADT,Package Status Report
7,ADT,Duplicate Activity Sheet
8,ADT,IP Discharge TAT Report
9,ADT,Print Label
10,ADT,Doctor Wise Inpatient Chart
11,A/R,Claimed_Raised
12,A/R,"
Claim Received Amount Report"
13,A/R,Insurance Company Reports
14,A/R,Received Amount MOP Report
15,A/R,Company Wise Outstanding Report
16,A/R,Disallow Report
17,A/R,Company Outstanding Ageing Report
18,A/R,AR Ledger Report
19,A/R,CommonScroll
20,Billing ,Common Scroll
21,Billing ,Unused Deposit Report
22,Billing ,UnBilled/Unsettled Bill Report
23,Billing ,Patient Bill Status
24,Billing ,IP Ward Consumption Report
25,Billing ,IP Ward Consumption Report
26,Billing ,Miscellaneous Entry Details Report
27,Billing ,Cancel IP Investigation Report
28,Billing ,Cancel IP Investigation Report
29,Billing ,Package Consumable Breakup Details Report
30,Billing ,Package Services Breakup Details Report
31,Billing ,Expected Discharge Report Based On Package End Date
32,Billing ,Change of Bed category report
33,Billing ,IP Patient Bill Report Date Wise
34,Billing ,Department Wise Revenue With Package
35,Billing ,Pharmacy Return Report
36,Billing ,Invoice Including Service Tax
37,Billing ,IP Consults Report
38,Billing ,TCS Collection Report
39,Billing ,Estimation Comparison Report
40,Billing ,Inpatient Service wise report
41,Billing ,Patient Remark Report
42,DayCare,DayCareWorklist
43,Emergency,Common Scroll
44,Emergency,Emergency Total Patient Report
45,Emergency,Triage Patient Bill Status
46,Emergency,Triage Discharge Cancellation Report
47,Emergency,Triage Dept Wise Test & Revenue
48,Emergency,Reprint Barcode
49,Emergency,Fractional Item Usage Report
50,Front Office ,Common Scroll
51,Front Office ,Expired Patient Report
52,Front Office ,Equipment Schedule Report
53,Front Office ,Doctor's Schedule Report
54,Front Office ,Individual Plan Report 
55,Front Office ,Credit Card Detail Report
56,Front Office ,Pre-Surgery Estimate Report
57,Front Office ,Online Health CheckUp Schedule Report
58,GeneralItems,Stock In Hand and As on Date Wise Report
59,GeneralItems,Stock Movement Report
60,GeneralItems,Stock Ledger Report
61,GeneralItems,Stock In Transit Report
62,GeneralItems,"Indent,PR,PO Closure Report"
63,GeneralItems,Pending Purchase Req. Report
64,GeneralItems,Pending PO Reports
65,GeneralItems,PO Approval Status Report
66,GeneralItems,PO Detail Reports
67,GeneralItems,PO Against Purchase Request Report
68,GeneralItems,GRN Register Detailed Report
69,GeneralItems,Purchase Receipt Summary
70,GeneralItems,Purchase Receipt Summary Supplier Wise
71,GeneralItems,Purchase Receipt Detail Supplier Wise
72,GeneralItems,Purchase Receipt And Return Details Report
73,GeneralItems,Item Wise Purchase Receipt Details
74,GeneralItems,Supplier Wise Net Purchase Report
75,GeneralItems,Purchase Return Summary Reports
76,GeneralItems,Adjustment Summary Station Wise
77,GeneralItems,Issue Summary Report
78,GeneralItems,Store Item Consumption Report
79,GeneralItems,Indent Receipt Details Report
80,GeneralItems,Indent Return Report
81,GeneralItems,Non-Moving Item Report 
82,GeneralItems,Item Master Report
83,Inventory,Item Wise Departmentwise Stock Status Report
